id,industry
379,Consumer
379,Content
378,B2B
378,Productivity
375,B2B
375,Security
374,Fintech
374,Consumer Finance
373,Consumer
373,Social
380,B2B
380,Analytics
377,B2B
376,Consumer
376,Social
357,Consumer
357,Gaming
356,Consumer
356,Content
355,B2B
355,Productivity
365,Consumer
365,Social
364,Consumer
364,Gaming
363,Consumer
363,Home and Personal
362,Consumer
362,Social
361,Consumer
361,Apparel and Cosmetics
360,Consumer
360,Social
359,B2B
359,Productivity
358,Consumer
358,Content
370,B2B
370,Marketing
369,Consumer
369,Home and Personal
367,B2B
367,Infrastructure
366,B2B
366,Finance and Accounting
372,B2B
372,Marketing
371,Consumer
371,Social
368,Consumer
368,Content
383,Consumer
383,Content
344,B2B
344,Marketing
347,Fintech
347,Consumer Finance
343,B2B
343,Infrastructure
354,Consumer
354,Social
349,Consumer
349,Home and Personal
348,B2B
348,Productivity
346,Industrials
346,Manufacturing and Robotics
353,Consumer
353,Social
352,Industrials
352,Manufacturing and Robotics
351,Consumer
351,Social
350,Consumer
350,Content
345,Consumer
345,Social
325,B2B
325,Productivity
326,Consumer
326,Gaming
337,Consumer
337,Content
336,B2B
336,"Engineering, Product and Design"
335,B2B
335,"Engineering, Product and Design"
333,B2B
333,Productivity
327,B2B
327,"Engineering, Product and Design"
324,Consumer
324,"Travel, Leisure and Tourism"
342,Consumer
342,Content
341,B2B
341,"Engineering, Product and Design"
340,Consumer
340,Content
339,Consumer
339,Social
338,Consumer
338,Content
334,Consumer
334,Social
332,B2B
332,Marketing
331,Consumer
331,Social
330,Consumer
330,Social
329,Consumer
329,Home and Personal
328,Consumer
328,Home and Personal
307,Consumer
307,Gaming
311,B2B
311,Infrastructure
306,B2B
306,Infrastructure
304,B2B
304,Productivity
312,B2B
312,"Engineering, Product and Design"
310,Consumer
310,Content
305,B2B
305,Marketing
323,B2B
323,"Engineering, Product and Design"
322,B2B
322,Recruiting and Talent
321,B2B
321,Productivity
320,B2B
320,Recruiting and Talent
319,Consumer
319,Gaming
318,Consumer
318,Social
317,Consumer
317,Gaming
316,Fintech
316,Payments
315,Consumer
315,Content
314,Consumer
314,Social
313,B2B
313,Productivity
309,B2B
309,Infrastructure
308,Consumer
308,Gaming
303,B2B
303,"Engineering, Product and Design"
282,B2B
282,Analytics
291,B2B
291,Marketing
289,Consumer
289,Content
284,B2B
284,Infrastructure
281,Consumer
281,Social
302,Consumer
302,Content
301,Consumer
301,Social
300,Consumer
300,Home and Personal
299,Consumer
299,Home and Personal
298,Consumer
298,Content
297,B2B
297,Marketing
296,Consumer
296,"Travel, Leisure and Tourism"
295,Consumer
295,Gaming
294,B2B
294,Productivity
293,Consumer
293,Content
292,Consumer
292,Gaming
290,Consumer
290,Social
288,B2B
288,"Engineering, Product and Design"
287,Consumer
287,Home and Personal
286,B2B
286,Retail
285,B2B
285,Recruiting and Talent
283,Consumer
283,Content
271,Consumer
271,"Travel, Leisure and Tourism"
270,B2B
270,Marketing
268,Real Estate and Construction
268,Housing and Real Estate
275,B2B
275,Infrastructure
274,Consumer
274,Content
273,B2B
273,Productivity
272,Consumer
272,Social
