id,tag
379,Community
379,Social Media
379,Social
379,Social Network
378,Calendar
357,Gaming
357,Social
356,AI-Enhanced Learning
356,Remote Work
356,Edtech
363,Marketplace
363,E-Commerce
362,Market Research
358,Collaboration
358,Social Network
358,Music
370,SaaS
370,Productivity
368,Media
383,Community
383,Gaming
383,Social Media
383,Video
383,Social Network
347,Fintech
354,Community
354,Messaging
348,Documents
348,SaaS
348,B2B
348,Productivity
346,Electronics
345,Messaging
333,Media
327,Community
338,Music
334,Investing
334,Stocks
332,Marketing
307,Gaming
306,DevOps
304,Developer Tools
304,SaaS
310,Video
310,Media
305,Gaming
316,Payments
316,Social
315,Social
315,Music
282,SaaS
291,SaaS
291,Data Engineering
289,Artificial Intelligence
289,ML
281,Email
302,Media
302,Social
298,Marketplace
298,E-Commerce
298,Music
295,Proptech
290,Social
288,Climate
271,Marketplace
271,Travel
270,Airlines
268,Sustainability
274,Music
273,Email
267,Advertising
266,Productivity
244,Fintech
248,B2B
248,Analytics
248,Data Visualization
248,Cloud Computing
248,Databases
240,Banking as a Service
240,Fintech
240,SaaS
259,Education
258,Marketplace
258,Real Estate
249,Sales
249,Customer Service
249,Chat
245,Artificial Intelligence
245,Machine Learning
245,Recommendation System
239,Marketplace
239,Crypto / Web3
250,Hardware
250,IoT
246,Open Source
257,Developer Tools
253,Social
253,Recommendation System
252,Psychedelics
251,Marketplace
251,Automotive
241,Video
221,Marketing
226,Marketing
226,SMB
231,Real Estate
231,Data Visualization
223,Video
223,API
219,Marketplace
219,Design
216,Video
215,Documents
215,SaaS
214,Video
214,Media
213,Marketing
222,Media
202,DevOps
202,Monitoring
177,Food Service Robots & Machines
177,Restaurant Tech
197,Fintech
201,Productivity
201,Note-taking
200,FinOps
200,Analytics
198,Open Source
198,DevOps
198,Enterprise Software
188,E-Commerce
188,Food & Beverage
187,Marketing
187,SEO
181,Education
181,Community
181,Recruiting
209,Analytics
209,Advertising
206,Social Network
194,Analytics
193,Computer Vision
192,Community
191,Marketplace
186,Marketplace
186,Real Estate
183,Collaboration
183,Security
183,Enterprise
180,Productivity
180,Email
178,Travel
176,Analytics
211,Gaming
210,Social
204,Messaging
204,Social
203,Fintech
199,Email
195,Media
190,Productivity
189,Design Tools
185,Health & Wellness
184,Marketplace
184,Design
179,AI-powered Drug Discovery
158,Fintech
158,Marketplace
168,Marketplace
145,SaaS
145,Enterprise Software
170,Healthcare
170,Telemedicine
170,API
172,SaaS
172,E-commerce
171,Food Tech
164,Gaming
160,SaaS
160,B2B
149,Fintech
149,Payments
147,SaaS
147,Real Estate
141,Developer Tools
141,Design Tools
138,E-Commerce
138,Referrals
173,Messaging
173,Customer Service
169,Cashierless Checkout
169,Marketplace
169,Payments
162,API
162,Email
153,Productivity
152,Entertainment
152,Gaming
151,SaaS
150,E-Commerce
150,Analytics
150,Retail Tech
148,Analytics
142,Advertising
142,Music
133,Hardware
133,Marketplace
175,Marketplace
175,Computer Vision
174,Marketplace
167,Productivity
167,Collaboration
167,SMB
166,Finance
166,Investing
163,Education
163,Marketplace
161,Marketplace
161,Payments
157,SaaS
157,API
156,Community
156,Messaging
155,Data Science
155,Data Engineering
140,Cloud Computing
139,Health Tech
139,Fitness
137,Education
137,Recruiting
136,Messaging
136,Enterprise
135,E-Commerce
135,Retail
132,E-Commerce
132,Retail
132,Fashion
